rainfall(mm),avgT,LowT,HighT,seoulDiag,seoulDadd,under_treatment,cured,dead,sus_patient,sus_patient_checking,sus_pat_negative
5.6,24.3,20.6,31,72594,510,9140,62893,561,0,0,0
0,26,21,31.5,73169,575,9147,63458,564,0,0,0
0,26.6,22.6,30.7,73725,556,9196,63963,566,0,0,0
62.8,23.8,21,25.5,74251,526,9243,64441,567,0,0,0
0,24.4,22.4,27,74749,499,9380,64798,571,0,0,0
7.4,22.4,21,24,75136,388,9276,65287,573,0,0,0
10.5,23.4,21.1,26.4,75570,438,9252,65744,574,0,0,0
0.3,25,23.5,27.3,76245,677,9277,66393,575,0,0,0
0.7,25.5,22.9,27.9,76814,570,9611,66625,578,0,0,0
0.9,22.4,20.4,25.5,77371,557,9533,67259,579,0,0,0
0,23.6,19.7,28.2,77940,569,9472,67887,581,0,0,0
0.9,23.7,21.9,26.3,78455,517,9388,68486,581,0,0,0
0,24.2,21.2,27.7,78899,444,9280,69037,582,0,0,0
77.4,20.5,18.1,23.1,79354,456,9370,69401,583,0,0,0
0.8,21.4,18.5,23.9,80019,665,9537,69898,584,0,0,0
12,22.3,18,26.4,82657,464,9091,72973,593,0,0,0
29.6,19.6,17.6,20.9,83138,482,9035,73508,595,0,0,0
1.6,22.2,19,26.9,83808,671,9034,74177,597,0,0,0
0,23.7,20.8,27.8,91273,742,10711,79945,617,0,0,0
0,23.7,19,28.4,91856,583,10986,80252,618,0,0,0
68.1,22,17.4,26.2,92532,676,11394,80518,620,0,0,0
4.5,20.2,16.8,24.3,93176,644,11700,80855,621,0,0,0
1.3,21.5,19.6,24.4,98497,842,13270,84592,635,0,0,0
13.1,20.2,17.8,21.4,99550,1054,13553,85358,639,0,0,0
0,20.3,16,25.9,100495,945,13951,85901,643,0,0,0
13.3,21.1,16.9,27.5,101411,916,14332,86430,649,0,0,0
0,20.7,16.4,26.6,102204,793,14561,86990,653,0,0,0
0,22.3,17.1,28.8,102939,736,14670,87614,655,0,0,0
3.6,22.9,19.2,25.6,103512,574,14650,88206,656,0,0,0
0,23.6,21.7,26.5,104033,521,14786,88585,662,0,0,0
6.4,18.8,17.9,21.7,104723,690,14497,89560,666,0,0,0
4.6,19.4,17.9,21.9,105558,837,14573,90316,669,0,0,0
3.5,18.8,17.5,20,106332,776,13591,92067,674,0,0,0
0.4,20.9,18.5,24.1,107041,712,12609,93754,678,0,0,0
